index,statement,type,ground_truth,data_source,verdict-prompt1-initial,confidence-prompt1-initial,verdict-prompt1-reconsidered,confidence-prompt1-reconsidered,verdict-prompt2-initial,confidence-prompt2-initial,verdict-prompt2-reconsidered,confidence-prompt2-reconsidered
23,Saturn’s rings are not wide.,Negation,NO,,FALSE,95,FALSE,95,FALSE,95,FALSE,95
24,Saturn’s rings are narrow.,Antonym,NO,,FALSE,95,FALSE,95,FALSE,95,FALSE,95
25,Earth’s core is hot.,Affirmation,Yes,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
26,Earth's core is not hot.,Negation,No,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
27,Earth's core is cold.,Antonym,no,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
28,Saltwater is dense.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,INSUFFICIENT INFO,,TRUE,100
29,Saltwater is not dense.,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
30,Saltwater is light.,Antonym,NO,,FALSE,90,FALSE,90,FALSE,100,FALSE,100
31,Polar bears are white.,Affirmation,YES,chatgpt,TRUE,95,FALSE,90,TRUE,100,TRUE,100
32,Polar bears are not white,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
33,Polar bears are black.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
34,Mercury vapor is toxic.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
35,Mercury vapor is not toxic.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
36,Mercury vapor is safe.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
37,The Amazon rainforest is vast.,Affirmation,YES,chatgpt,INSUFFICIENT INFO,,TRUE,100,INSUFFICIENT INFO,,TRUE,100
38,The Amazon rainforest is not vast.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
39,The Amazon rainforest is small.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
40,Giraffes are tall.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,TRUE,100,TRUE,100
41,Giraffes are not tall.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
42,Giraffes are short.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
43,Bamboo is hollow.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
44,Bamboo is not hollow.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
45,Bamboo is solid.,Antonym,NO,,INSUFFICIENT INFO,,TRUE,90,INSUFFICIENT INFO,,TRUE,90
46,Coral reefs are fragile.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,TRUE,95,TRUE,95
47,Coral reefs are not fragile.,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
48,Coral reefs are robust.,Antonym,NO,,FALSE,90,FALSE,90,INSUFFICIENT INFO,,INSUFFICIENT INFO,
49,Venus’s atmosphere is thick.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,TRUE,100,TRUE,100
50,Venus’s atmosphere is not thick.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
51,Venus’s atmosphere is thin.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
52,Quartz crystals are transparent.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,TRUE,95,TRUE,95
53,Quartz crystals are not transparent.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
54,Quartz crystals are opaque.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
55,The Pacific Ocean is deep.,Affirmation,YES,chatgpt,INSUFFICIENT INFO,,TRUE,100,INSUFFICIENT INFO,,TRUE,100
56,The Pacific Ocean is not deep.,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
57,The Pacifi Ocean is shallow.,Antonym,NO,,FALSE,95,FALSE,95,FALSE,95,FALSE,95
58,Limestone cliffs are steep.,Affirmation,YES,chatgpt,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
59,Limestone cliffs are not steep.,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
60,Limestone cliffs are gentle.,Antonym,NO,,FALSE,90,FALSE,90,FALSE,90,FALSE,90
61,Hurricanes are powerful.,Affirmation,YES,chatgpt,INSUFFICIENT INFO,,TRUE,100,INSUFFICIENT INFO,,TRUE,100
62,Hurricanes are not powerful.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
63,Hurricanes are weak. ,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
64,Eagles are large birds.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,95,TRUE,95
65,Eagles are not large birds.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
66,Eagles are small birds.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
67,The Sahara Desert is dry.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
68,The Sahara Desert is not dry.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
69,The Sahara Desert is wet.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
70,Oxygen is essential for humans to live.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
71,Oxygen is not essential for humans to live.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
72,Oxygen is optional for humans to live.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
73,Diamonds are transparent.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
74,Diamonds are not transparent. ,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
75,Diamonds are opaque.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
76,The equator is warm year-round.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,TRUE,95,TRUE,95
77,The equator is not warm year-round.,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
78,The equator is cold year-round.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
79,The ozone layer is thin.,Affirmation,YES,chatgpt,TRUE,95,TRUE,95,INSUFFICIENT INFO,,TRUE,90
80,The ozone layer is not thin.,Negation,NO,,FALSE,90,FALSE,90,FALSE,100,FALSE,100
81,The ozone layer is thick.,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
82,Glaciers are slow-moving.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
83,Glaciers are not slow-moving. ,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
84,Glaciers are fast-moving.,Antonym,NO,,FALSE,90,FALSE,90,FALSE,100,FALSE,100
85,The human skeleton is rigid.,Affirmation,YES,chatgpt,FALSE,95,FALSE,95,FALSE,95,FALSE,95
86,The human skeleton is not rigid. ,Negation,NO,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
87,The human skeleton is flexible. ,Antonym,NO,,TRUE,90,TRUE,90,TRUE,90,TRUE,90
88,The Dead Sea is salty.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
89,The Dead Sea is not salty. ,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
90,The Dead Sea is sweet.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
91,Rainforests are humid.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
92,Rainforests are not humid. ,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
93,Rainforests are arid. ,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
94,Lightning bolts are hot.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,95,TRUE,95
95,Lightning bolts are not hot.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
96,Lightning bolts are cold. ,Antonym,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
97,Human skin is elastic.,Affirmation,YES,chatgpt,TRUE,100,TRUE,100,TRUE,100,TRUE,100
98,Human skin is not elastic. ,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
99,Human skin is rigid.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
100,Solar eclipses are rare events.,Affirmation,YES,chatgpt,TRUE,85,FALSE,90,TRUE,90,TRUE,90
101,Solar eclipses are not rare events.,Negation,NO,,TRUE,90,TRUE,90,TRUE,90,TRUE,90
102,Solar eclipses are common events.,Antonym,NO,,FALSE,90,FALSE,90,FALSE,90,FALSE,90
103,Earth’s mantle is solid rock.,Affirmation,YES,chatgpt,FALSE,95,FALSE,95,FALSE,100,FALSE,100
104,Earth's mantle is non-solid rock.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
105,Earth's mantle is liquid rock.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
106,The Space Race was an important part of the Cold War.,Affirmation,YES,gpt3,TRUE,100,TRUE,100,TRUE,100,TRUE,100
107,The Space Race was not an important part of the Cold War,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
108,The Space Race was an unimportant part of the cold war,Antonym,NO,,FALSE,95,FALSE,95,FALSE,95,FALSE,95
109,"On January 6th, 2021, a pro-Trump mob stormed the US Capitol building in what became known as the Capitol Riot.",Affirmation,YES,gpt3,TRUE,100,TRUE,100,TRUE,100,TRUE,100
110,"On January 6th, 2021, a pro-Trump mob did not storm the US Capitol building in what became known as the Capitol Riot.",Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
111,"On January 6th, 2021, a pro-Trump mob protected the US Capitol building in what became known as the Capitol Riot.",Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
112,The opening of the Suez Canal links the Mediterranean Sea to the Red Sea and revolutionized trade routes.,Affirmation,YES,gpt3,TRUE,95,TRUE,95,TRUE,95,TRUE,95
113,The opening of the Suez Canal does not link the Mediterranean Sea to the Red Sea,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
114,The opening of the Suez Canal separates the Mediterranean Sea to the Red Sea ,Antonym,NO,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
115,LGBT rights have been increasingly recognized in many countries since 2015,Affirmation,YES,gpt3,TRUE,95,TRUE,95,TRUE,95,TRUE,95
116,LGBT rights have not been increasingly recognized in many countries since 2015,Negation,NO,,FALSE,90,FALSE,90,FALSE,95,FALSE,95
117,LGBT rights have been decreasingly recognized in many countries since 2015,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
118,The 2020 US Election was tarnished by allegations of voter fraud and irregularities.,Affirmation,YES,gpt3,TRUE,100,TRUE,100,TRUE,100,TRUE,100
119,The 2020 US Election was not tarnished by allegations of voter fraud and irregularities.,negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
120,The 2020 US Election was polished by allegations of voter fraud and irregularities.,antonym,NO,,TRUE,95,TRUE,95,TRUE,95,TRUE,95
121,The fall of the Soviet Union ended the Cold War.,Affirmation,YES,gpt3,TRUE,95,TRUE,95,TRUE,95,TRUE,95
122,The fall of the Soviet Union did not end the Cold War.,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
123,The fall of the Soviet Union started the Cold War.,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
124,The War in Iraq (2003 – 2011) resulted in the overthrow of the Saddam Hussein government,Affirmation,YES,gpt3,TRUE,100,TRUE,100,TRUE,100,TRUE,100
125,The War in Iraq (2003 – 2011) did not result in the overthrow of the Saddam Hussein government,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
126,The War in Iraq (2003 – 2011) resulted in the victory of the Saddam Hussein government,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
127,The Islamic State of Iraq and Syria (ISIS) is a terrorist organization that has gained notoriety for its brutality since 2014.,Affirmation,YES,gpt3,TRUE,100,TRUE,100,TRUE,100,TRUE,100
128,The Islamic State of Iraq and Syria (ISIS) is not a terrorist organization that has gained notoriety for its brutality since 2014.,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
129,The Islamic State of Iraq and Syria (ISIS) is a terrorist organization that has gained anonymity for its brutality since 2014.,Antonym,NO,,TRUE,95,TRUE,95,TRUE,95,TRUE,95
130,"Since 2014, there has been a conflict between the Ukrainian government and pro-Russian separatists in eastern Ukraine.",Affirmation,YES,gpt3,TRUE,100,TRUE,100,TRUE,100,TRUE,100
131,"Since 2014, there has not been a conflict between the Ukrainian government and pro-Russian separatists in eastern Ukraine.",Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
132,"Since 2014, there has been an agreement between the Ukrainian government and pro-Russian separatists in eastern Ukraine.",Antonym,NO,,TRUE,90,TRUE,90,TRUE,90,TRUE,90
133,Ice is cold.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
134,Ice is not cold,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
135,Ice is hot,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
136,The sun is hot.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
137,The sun is not hot,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
138,The sun is cold,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
139,Snow is white.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
140,Snow is not white,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
141,Snow is black,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
142,Grass is green.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
143,Grass is not green,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
144,Grass is red,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
145,Diamonds are hard.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
146,Diamonds are not hard,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
147,Diamonds are soft,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
148,The ocean is salty.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
149,The ocean is not salty,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
150,The ocean is sweet,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
151,Fire is bright.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,90,TRUE,90
152,Fire is not bright,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
153,Fire is dull,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,FALSE,100,FALSE,100
154,Gold is valuable.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,100,TRUE,100
155,Gold is not valuable,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
156,Gold is worthless,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
157,Sand is coarse.,Affirmation,YES,ChatGPT,TRUE,90,TRUE,90,TRUE,90,TRUE,90
158,Sand is not coarse,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
159,Sand is soft,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
160,Honey is sweet.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
161,Honey is not sweet,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
162,Honey is sour,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
163,Iron is strong.,Affirmation,YES,ChatGPT,INSUFFICIENT INFO,,TRUE,90,INSUFFICIENT INFO,,INSUFFICIENT INFO,
164,Iron is not strong,Negation,NO,,FALSE,90,FALSE,90,FALSE,100,FALSE,100
165,Irong is weak,Antonym,NO,,FALSE,90,FALSE,90,FALSE,100,FALSE,100
166,The moon is round.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
167,The moon is not round,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
168,The moon is angular,Antonym,NO,,FALSE,100,INSUFFICIENT INFO,,FALSE,100,INSUFFICIENT INFO,
169,Clouds are fluffy.,Affirmation,YES,ChatGPT,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
170,Clouds are not flufft,Negation,NO,,FALSE,100,INSUFFICIENT INFO,,FALSE,100,INSUFFICIENT INFO,
171,Clouds are rough,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
172,Most leaves are green.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,95,TRUE,95
173,Most leaves are not green,Negation,NO,,FALSE,95,FALSE,95,FALSE,95,FALSE,95
174,Most leaves are red,Antonym,NO,,FALSE,95,FALSE,95,FALSE,90,FALSE,90
175,Glass is transparent.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
176,Glass is not transparent,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
177,Glass is opaque,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
178,Aluminum is light.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,95,TRUE,95
179,Aluminium is not light,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
180,Aluminium is heavy,Antonym,NO,,FALSE,90,FALSE,90,FALSE,90,FALSE,90
181,Chalk is soft.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,95,TRUE,95
182,Chalk is not soft,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
183,Chalk is hard,Antonym,NO,,FALSE,90,FALSE,90,INSUFFICIENT INFO,,INSUFFICIENT INFO,
184,Pepper is spicy.,Affirmation,YES,ChatGPT,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
185,Pepper is not spicy,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
186,Pepper is tasteless,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
187,Copper is reddish.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
188,Copper is not reddish,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
189,Copper is greenish,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
190,Asphalt is black.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
191,Asphalt is not black,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
192,Asphalt is white,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
193,Milk is white.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
194,Milk is not white,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
195,Milk is black,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
196,Lemons are sour.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
197,Lemons are not sour,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
198,Lemons are sweet,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
199,Butter is yellow.,Affirmation,YES,ChatGPT,TRUE,90,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
200,Butter is not yellow,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
201,Butter is purple,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
202,Salt is salty.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
203,Salt is not salty,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
204,Salt is bland,Antonym,NO,,FALSE,95,FALSE,95,FALSE,95,FALSE,95
205,Coal is black.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
206,Coal is not black,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
207,Coal is white,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
208,Silk is smooth.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
209,Silk is not smooth,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
210,Silk is rough,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
211,Granite is hard.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,100,TRUE,100
212,Granite is not hard,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
213,Granite is soft,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
214,Steam is hot.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
215,Steam is not hot,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
216,Steam is cold,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
217,Fog is thick.,Affirmation,YES,ChatGPT,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
218,Fog is not thick,Negation,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
219,Fog is thin,Antonym,NO,,INSUFFICIENT INFO,,TRUE,90,TRUE,95,TRUE,95
220,Mercury is liquid.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
221,Mercury is not liquid,Negation,NO,,INSUFFICIENT INFO,,FALSE,100,FALSE,100,FALSE,100
222,Mercury is solid,Antonym,NO,,TRUE,100,TRUE,100,TRUE,100,TRUE,100
223,Wood is rigid.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,95,TRUE,95
224,Wood is not rigid,Negation,NO,,FALSE,90,FALSE,90,FALSE,100,FALSE,100
225,Wood is flexible,Antonym,NO,,FALSE,90,TRUE,80,FALSE,90,FALSE,90
226,Soil is fertile.,Affirmation,YES,ChatGPT,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
227,Soil is not fertile,Negation,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
228,Soil is infertile,Antonym,NO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
229,Marble is heavy.,Affirmation,YES,ChatGPT,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,,INSUFFICIENT INFO,
230,Marble is not heavy,Negation,NO,,FALSE,90,FALSE,90,INSUFFICIENT INFO,,INSUFFICIENT INFO,
231,Marble is light,Antonym,NO,,FALSE,100,FALSE,100,INSUFFICIENT INFO,,INSUFFICIENT INFO,
232,Vinegar is acidic.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
233,Vinegar is not acidic,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
234,Vinegar is sweet,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
235,Wool is warm.,Affirmation,YES,ChatGPT,TRUE,95,TRUE,95,TRUE,100,TRUE,100
236,Wool is not warm,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
237,Wool is cold,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
238,Sugar is sweet.,Affirmation,YES,ChatGPT,TRUE,100,TRUE,100,TRUE,100,TRUE,100
239,Sugar is not sweet,Negation,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
240,Sugar is sour,Antonym,NO,,FALSE,100,FALSE,100,FALSE,100,FALSE,100
241,Bricks are red.,Affirmation,YES,ChatGPT,FALSE,90,FALSE,90,FALSE,90,FALSE,90
242,Bricks are not red,Negation,NO,,FALSE,95,FALSE,95,FALSE,100,FALSE,100
